logged_at_parsed,contract_ticker,logged_at,decision_time,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,agree,p_sol,be,would_win_bf,would_pnl_bf,yw,macro_bull,macro_sideways,macro_bear,garch_ratio,macd_hist_1h_recon,donch_1h_recon,kc_pct_1h_recon,kc_bo_1h_recon,kalman_velocity_recon,kalman_residual_recon,arima_forecast_recon,bp_1h_recon,stoch_k_4h_recon,hmm_ms_state_recon,hmm_vd_state_recon,hmm_of_state_recon
2026-04-02 14:18:31+00:00,KXSOLD-26APR0211-T76.9999,2026-04-02 14:18:31,2026-04-02 14:18,2026-04-02T15:00:00Z,77.97,77.0,-1.2474,0.55,real,0.610261,-0.28,0.00126152,0.00126152,0.01551352,0.0813,,0.00696232,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,58.37,,,,bearish,,,0.060261,0.027936,trade,yes,False,False,36.0,41.46,,0.133914,0.033478,33.48,1000.0,True,True,27.39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4809006244458168,0.55,True,27.39,2026-W14,1.681843285029357e-71,1.0,2.112967455480098e-38,0.9521788089821649,-0.04074462943471313,0.3186077643908964,0.5954635282516938,0,0.005271852585599163,0.008398021201640219,-0.000445394605813967,0.7711442786069618,0.0,6,2,
2026-04-02 14:22:41+00:00,KXSOLD-26APR0211-T77.9999,2026-04-02 14:22:41,2026-04-02 14:18,2026-04-02T15:00:00Z,78.14,78.0,-0.1761,0.5,real,0.588336,-0.2233,0.00129273,0.00129273,,,,0.00129273,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,60.29,,,,bearish,,,0.088336,0.055836,trade,yes,False,False,36.0,37.29,,0.176673,0.044168,44.17,1000.0,True,True,44.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4809006244458168,0.5,True,44.17,2026-W14,1.681843285029357e-71,1.0,2.112967455480098e-38,0.9521788089821649,-0.04074462943471313,0.3186077643908964,0.5954635282516938,0,0.005271852585599163,0.008398021201640219,-0.000445394605813967,0.7711442786069618,0.0,6,2,
2026-04-02 14:35:15+00:00,KXSOLD-26APR0211-T74.9999,2026-04-02 14:35:15,2026-04-02 14:28,2026-04-02T15:00:00Z,79.0,75.0,-5.0664,0.53,real,0.573645,-0.1857,0.0012539,0.0012539,0.13894156,0.009,,0.05632895,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,100.0,,,,bearish,,,0.043645,0.011208,trade,yes,False,False,37.0,24.72,,0.092861,0.023215,23.22,1000.0,True,True,20.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4809006244458168,0.53,True,20.59,2026-W14,1.681843285029357e-71,1.0,2.112967455480098e-38,0.9521788089821649,-0.04074462943471313,0.3186077643908964,0.5954635282516938,0,0.005271852585599163,0.008398021201640219,-0.000445394605813967,0.7711442786069618,0.0,6,2,
2026-04-02 15:02:44+00:00,KXSOLD-26APR0212-T74.9999,2026-04-02 15:02:44,2026-04-02 15:00,2026-04-02T16:00:00Z,79.05,75.0,-5.1205,0.54,real,0.595773,-0.2424,0.00164793,0.00164793,0.06917101,0.0238,,0.02865716,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,77.11,,,,bearish,,,0.055773,0.023385,trade,yes,False,False,38.0,57.25,,0.121246,0.030311,30.31,1000.0,True,True,25.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4721667602111296,0.54,True,25.82,2026-W14,4.669078909665354e-80,1.0,3.8086469982707833e-44,1.1598243013003602,0.028304077780926473,0.31805157593123173,0.5317614816637187,0,0.001211753776973007,-0.006356075240398849,-0.00044994195195499853,0.8656716417910401,0.0,6,2,
2026-04-02 15:23:39+00:00,KXSOLD-26APR0212-T75.9999,2026-04-02 15:23:39,2026-04-02 15:21,2026-04-02T16:00:00Z,78.48,76.0,-3.1571,0.535,real,0.583295,-0.2103,0.0017827,0.0017827,0.06059412,0.0294,,0.02530726,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,57.75,,,,bearish,,,0.048295,0.015881,trade,yes,False,False,38.0,36.32,,0.10386,0.025965,25.97,1000.0,True,True,22.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4721667602111296,0.535,True,22.57,2026-W14,4.669078909665354e-80,1.0,3.8086469982707833e-44,1.1598243013003602,0.028304077780926473,0.31805157593123173,0.5317614816637187,0,0.001211753776973007,-0.006356075240398849,-0.00044994195195499853,0.8656716417910401,0.0,6,2,
2026-04-02 15:25:44+00:00,KXSOLD-26APR0212-T77.9999,2026-04-02 15:25:44,2026-04-02 15:21,2026-04-02T16:00:00Z,78.6,78.0,-0.7603,0.31,real,0.767864,-0.7318,0.00178247,0.00178247,,,,0.00178247,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,64.44,,,,bearish,,,0.457864,0.427891,trade,yes,False,False,38.0,34.23,,0.663571,0.05,50.0,1000.0,True,True,111.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4721667602111296,0.31,True,111.29,2026-W14,4.669078909665354e-80,1.0,3.8086469982707833e-44,1.1598243013003602,0.028304077780926473,0.31805157593123173,0.5317614816637187,0,0.001211753776973007,-0.006356075240398849,-0.00044994195195499853,0.8656716417910401,0.0,6,2,
2026-04-02 16:01:24+00:00,KXSOLD-26APR0213-T75.9999,2026-04-02 16:01:24,2026-04-02 15:21,2026-04-02T17:00:00Z,79.01,76.0,-3.8128,0.54,real,0.59569,-0.2422,0.00123579,0.00123579,0.05057105,0.0244,,0.02096989,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,77.46,,,,bearish,,,0.05569,0.023302,trade,yes,False,False,37.0,58.58,,0.121065,0.030266,30.27,1000.0,True,True,25.79,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4515263857792623,0.54,True,25.79,2026-W14,1.6110731175108123e-88,1.0,2.3375548671923607e-48,1.1018230905760629,0.11789290891039883,0.446202531645569,0.7032784060540404,0,0.0016919611933365764,0.0007534643009639254,-0.0004158617304633269,0.838095238095236,13.56275303643725,6,2,
2026-04-02 16:03:31+00:00,KXSOLD-26APR0213-T76.9999,2026-04-02 16:03:31,2026-04-02 15:21,2026-04-02T17:00:00Z,79.07,77.0,-2.6211,0.54,real,0.594262,-0.2385,0.00123579,0.00123579,0.03519578,0.0351,,0.01481979,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,77.46,,,,bearish,,,0.054262,0.021874,trade,yes,False,False,37.0,56.46,,0.11796,0.02949,29.49,1000.0,True,True,25.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4515263857792623,0.54,True,25.12,2026-W14,1.6110731175108123e-88,1.0,2.3375548671923607e-48,1.1018230905760629,0.11789290891039883,0.446202531645569,0.7032784060540404,0,0.0016919611933365764,0.0007534643009639254,-0.0004158617304633269,0.838095238095236,13.56275303643725,6,2,
2026-04-02 16:18:01+00:00,KXSOLD-26APR0213-T77.9999,2026-04-02 16:18:01,2026-04-02 16:09,2026-04-02T17:00:00Z,78.86,78.0,-1.0938,0.58,real,0.660427,-0.4136,0.00123494,0.00123494,0.00841016,0.1468,,0.00410503,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,74.3,,,,bearish,,,0.080427,0.048375,trade,yes,False,False,38.0,41.96,,0.191493,0.047873,47.87,1000.0,True,True,34.66,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.4515263857792623,0.58,True,34.66,2026-W14,1.6110731175108123e-88,1.0,2.3375548671923607e-48,1.1018230905760629,0.11789290891039883,0.446202531645569,0.7032784060540404,0,0.0016919611933365764,0.0007534643009639254,-0.0004158617304633269,0.838095238095236,13.56275303643725,6,2,
2026-04-02 17:05:46+00:00,KXSOLD-26APR0214-T79.9999,2026-04-02 17:05:46,2026-04-02 17:01,2026-04-02T18:00:00Z,79.03,80.0,1.2241,0.435,real,0.368193,0.3366,0.00144949,0.00144949,0.01009548,0.1436,,0.00490789,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,72.82,,,,bearish,,,0.066807,0.035524,trade,no,False,False,38.0,54.22,,0.15358,0.05,50.0,1000.0,False,True,38.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,0.5176438030164634,0.565,True,38.5,2026-W14,2.8137071420164936e-102,1.0,1.8242635422409015e-58,1.0955552297674633,0.10884306636767738,0.34584980237154134,0.35235004049280966,0,-0.003614555088542472,-0.008274227513372253,-0.00044909658629061546,0.0,13.56275303643725,6,2,
