logged_at_parsed,contract_ticker,logged_at,decision_time,close_ts,spot,strike,offset_pct,p_market,p_market_source,p_yes_model,z_score,vol_60m,vol_60m_model,vol_implied_kalshi,vol_ratio,spread,vol_eff,structure_bias,confirmation_bias,confirmation_score,no_score,obi_score,obi_raw,obi_exchanges,vpin_score,vpin_raw,funding_bias,avg_funding_rate,vol_score,vwap_score,vwap_signal,vwap_total,vwap_stretch_score,vwap_distance_pct,bearish_rejection,bullish_rejection,ema_stretch_score,stoch_bias,stoch_k,stoch_d,stoch_crossover_active,ema_stack_bias,ema_alignment,z_shift,direction_strength,raw_edge,net_edge,decision,side,neutral_gate,pure_edge_gate,contracts_scanned,tau_minutes,gate_blocked,kelly_fraction,bet_fraction,bet_amount,bankroll,resolved_yes,would_win,would_pnl,composite_trend,composite_rev,composite_p_up,chg_30m,chg_10m,chg_5m,sharp_move_active,stoch_flipped,cmf_raw,cmf_score,stoch_k_4h,p_up_v2,bp_5m,bp_1h,chg_1h,chg_2h,chg_3h,body_15m,dir_15m,p_gbdt,smc_4h,smc_1h,choch_1h,choch_4h,supply_pct,demand_pct,in_supply_zone,in_demand_zone,squeeze_1h,kc_pct_1h,kc_bo_1h,adx_1h,rvol_1h,pm_drift_5m,hour_utc,liq_score,liq_bias,ls_long_pct,oi_chg_pct,cvd_4h,cg_futures_delta_4h,cg_futures_ratio_4h,cg_futures_cvd_12h,cg_spot_cb_ratio_4h,cg_liq_ratio_4h,cg_liq_total_4h,hl_ls_ratio,hl_squeeze_idx,hl_liq_ratio_4h,all_liq_ratio_1h,all_liq_ratio_4h,max_pain_nearest,max_pain_dist_pct,opt_pc_ratio,arima_forecast_1h,markov_regime_daily,markov_regime_7state,ob_imbalance,ob_path_ask_usd,ob_path_bid_usd,ob_ask_frac,ob_bid_wall_pct,ob_ask_wall_pct,hmm_vol_state,hmm_r1_prob,hmm_vol_k10,hmm_time_in_state,ou_z_score,ou_halflife_min,ou_tau_drift,hs_pattern_type,hs_bars_since_break,hs_r2,hs_neck_slope,hs_head_height,hs_head_width,flag_signal,flag_bull_bars_ago,flag_bear_bars_ago,flag_bull_tip_y,flag_bear_tip_y,flag_bull_pole_pct,flag_bear_pole_pct,pip_last_slope,pip_up_frac,pip_n_turns,v_hawk,hawk_vol_regime,pc1_rsi,ou_theta,hurst_exponent,autocorr1_15,autocorr1_30,kalman_velocity,kalman_residual,hmm_ms_state,hmm_ms_prob,hmm_of_state,hmm_of_prob,hmm_vd_state,hmm_vd_prob,hmm_pnl_state,hmm_ps_state,hmm_gd_state,hmm_zdrift_state,spot_at_expiry,price_move_pct,miss_pct,loss_margin_pct,loss_category,p_up_v3,pup_v3_hmm_state,eth_p_up_v1,agree,p_sol,be,would_win_bf,would_pnl_bf,yw
2026-04-02 14:33:10+00:00,KXSOLD-26APR0211-T78.9999,2026-04-02 14:33:10,2026-04-02 14:28,2026-04-02T15:00:00Z,78.75,79.0,0.3141,0.5,real,0.324898,0.454,0.00133414,0.00133414,,,,0.00133414,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,100.0,,,,bearish,,,0.175102,0.144748,trade,no,False,False,37.0,26.81,,0.350204,0.05,50.0,1000.0,True,False,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4809006244458168,0.5,False,-50.0,2026-W14
2026-04-02 14:37:21+00:00,KXSOLD-26APR0211-T79.9999,2026-04-02 14:37:21,2026-04-02 14:28,2026-04-02T15:00:00Z,79.52,80.0,0.6035,0.5,real,0.170427,0.9525,0.00132806,0.00132806,,,,0.00132806,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,100.0,,,,bearish,,,0.329573,0.304676,trade,no,False,False,38.0,22.62,,0.659146,0.05,50.0,1000.0,False,True,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4809006244458168,0.5,True,50.0,2026-W14
2026-04-02 15:11:06+00:00,KXSOLD-26APR0212-T79.9999,2026-04-02 15:11:06,2026-04-02 15:11,2026-04-02T16:00:00Z,79.03,80.0,1.2305,0.45,real,0.394501,0.2676,0.0016142,0.0016142,0.01392076,0.116,,0.00653682,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,79.58,,,,bearish,,,0.055499,0.023778,trade,no,False,False,38.0,48.88,,0.123331,0.05,50.0,1000.0,False,True,40.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4721667602111296,0.55,True,40.91,2026-W14
2026-04-02 16:05:35+00:00,KXSOLD-26APR0213-T79.9999,2026-04-02 16:05:35,2026-04-02 15:21,2026-04-02T17:00:00Z,78.97,80.0,1.301,0.425,real,0.346872,0.3938,0.00123965,0.00123965,0.00926665,0.1338,,0.00445045,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,79.58,,,,bearish,,,0.078128,0.047269,trade,no,False,False,38.0,54.4,,0.18383,0.05,50.0,1000.0,False,True,36.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4515263857792623,0.575,True,36.96,2026-W14
2026-04-02 16:15:57+00:00,KXSOLD-26APR0213-T78.9999,2026-04-02 16:15:57,2026-04-02 16:09,2026-04-02T17:00:00Z,78.86,79.0,0.1838,0.505,real,0.410741,0.2256,0.00122611,0.00122611,,,,0.00122611,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,77.46,,,,bearish,,,0.094259,0.062316,trade,no,False,False,38.0,44.03,,0.186651,0.05,50.0,1000.0,True,False,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4515263857792623,0.495,False,-50.0,2026-W14
2026-04-02 17:01:38+00:00,KXSOLD-26APR0214-T78.9999,2026-04-02 17:01:38,2026-04-02 17:01,2026-04-02T18:00:00Z,79.3,79.0,-0.3753,0.495,real,0.649261,-0.3833,0.00128414,0.00128414,,,,0.00128414,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,87.11,,,,bearish,,,0.154261,0.121763,trade,yes,False,False,38.0,58.35,,0.305468,0.05,50.0,1000.0,False,False,-50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5176438030164634,0.495,False,-50.0,2026-W14
2026-04-02 17:03:41+00:00,KXSOLD-26APR0214-T77.9999,2026-04-02 17:03:41,2026-04-02 17:01,2026-04-02T18:00:00Z,79.0,78.0,-1.2628,0.56,real,0.624059,-0.3162,0.00144949,0.00144949,0.01122041,0.1292,,0.00535786,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,-1.0,72.82,,,,bearish,,,0.064059,0.031811,trade,yes,False,False,37.0,56.29,,0.145589,0.036397,36.4,1000.0,True,True,28.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5176438030164634,0.56,True,28.6,2026-W14
2026-04-02 17:18:14+00:00,KXSOLD-26APR0214-T75.9999,2026-04-02 17:18:14,2026-04-02 17:11,2026-04-02T18:00:00Z,79.58,76.0,-4.5017,0.54,real,0.59626,-0.2437,0.00143809,0.00143809,0.07097404,0.0203,,0.02925247,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,68.98,,,,bearish,,,0.05626,0.023872,trade,yes,False,False,38.0,41.76,,0.122304,0.030576,30.58,1000.0,True,True,26.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.5176438030164634,0.54,True,26.05,2026-W14
2026-04-02 19:17:19+00:00,KXSOLD-26APR0216-T79.9999,2026-04-02 19:17:19,2026-04-02 19:17,2026-04-02T20:00:00Z,79.05,80.0,1.2048,0.225,real,0.104172,1.2581,0.00081077,0.00081077,0.00242712,0.334,,0.00145731,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,49.6,,,,bearish,,,0.120828,0.099295,trade,no,False,False,78.0,42.67,,0.537011,0.05,50.0,1000.0,False,True,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4918291130089187,0.775,True,14.52,2026-W14
2026-04-02 19:28:43+00:00,KXSOLD-26APR0216-T79.9999,2026-04-02 19:28:43,2026-04-02 19:28,2026-04-02T20:00:00Z,79.0,80.0,1.2689,0.225,real,0.089461,1.3441,0.00080639,0.00080639,0.00298609,0.27,,0.00167827,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,0.0,40.8,,,,bearish,,,0.135539,0.114837,trade,no,False,False,78.0,31.25,,0.602398,0.05,50.0,1000.0,False,True,14.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,0.4918291130089187,0.775,True,14.52,2026-W14
